GEF_ID,Agency,Region,Country,Title,GEF replenishment phase,Status,GEF4 SP list,GEF_ProjectGrant_CALC,CoFinance_CALC,Endorced/Approved Date,Actual date of implementation start,Date_start_CALC,Date_start_year
878,Multi-Agency,Asia,Sri Lanka,Protected Areas and Wildlife Conservation Project,,,," 10,200,000 "," 13,922,070 ",27-May-05,,27-May-05,2005
218,UNDP,AFR,Central African Republic,A Highly Decentralized Approach to B Protection and Use: The Bangassou Dense Forest.,,,," 2,500,000 "," 1,000,000 ",17-Dec-99,,17-Dec-99,1999
349,UNDP,AFR,Gabon,Conservation of B through Effective Management of Wildlife Trade,,,," 1,000,000 "," 63,882 ",7-Jan-02,,7-Jan-02,2002
536,UNDP,AFR,Regional,"Conservation Priority-Setting for the Upper Guinea Forest Ecosystems, West Africa",,,," 742,000 "," 250,000 ",8-Jun-04,,8-Jun-04,2004
541,UNDP,AFR,Regional,Reducing B Loss at Cross-Border Sites in East Africa,,,," 12,655,000 "," 31,400,000 ",6-Feb-03,,6-Feb-03,2003
772,UNDP,AFR,Cameroon,Community Based Conservation in the Bamenda Highlands,,,," 1,000,000 "," 2,090,978 ",16-Oct-00,,16-Oct-00,2000
803,UNDP,AFR,Tanzania,Jozani Chwaka Bay National Park Development,,,," 747,500 "," 831,401 ",30-Jun-05,,30-Jun-05,2005
933,UNDP,AFR,Senegal,"Integrated Ecosystem Management in Four Representative Landscapes of Senegal, Tranche 1",,,," 4,000,000 "," 3,919,000 ",12-Jun-02,,12-Jun-02,2002
977,UNDP,AFR,Zimbabwe,Conservation and Sustainable Use of Traditional Medicinal Plants,,,," 974,000 "," 635,000 ",30-Nov-05,,30-Nov-05,2005
1095,UNDP,AFR,Regional,"Conservation of Transboundary B in the Minkebe-Odzala-Dja Interzone in Gabon, Congo, and Cameroon",,,," 10,117,500 "," 15,910,000 ",25-Oct-05,,25-Oct-05,2005
1104,UNDP,AFR,Rwanda,Conservation of the Montane Forest Protected Area System in Rwanda,,,," 5,450,000 "," 9,559,155 ",30-Sep-08,,30-Sep-08,2008
1175,UNDP,AFR,Uganda,Conservation of Biodiversity in the Albertine Rift Forest Areas of Uganda,,,," 3,395,000 "," 7,953,189 ",20-Dec-06,,20-Dec-06,2006
1734,UNDP,AFR,Tanzania,The Development and Management of the Selous-Niassa Wildlife Corridor,,,," 986,500 "," 3,894,968 ",,,0-Jan-00,1900
2237,UNDP,AFR,Kenya,Developing Incentives for Community Participation in Forest Conservation through the Use of Commercial Insects in Kenya,,,," 1,000,000 "," 2,250,000 ",,,0-Jan-00,1900
2511,UNDP,AFR,Senegal,Groundnut Basin Soil Management and Regeneration,,,," 3,655,728 "," 10,531,921 ",21-Aug-07,,21-Aug-07,2007
2848,UNDP,AFR,Kenya,Improved Conservation and Governance for Kenya Coastal Forest Protected Area System,,,," 800,000 "," 2,290,000 ",,,0-Jan-00,1900
3376,UNDP,AFR,Malawi,SIP-Private Public Sector Partnership on Capacity Building for SLM in the Shire River Basin,,,," 2,072,940 "," 2,453,000 ",13-Apr-10,,13-Apr-10,2010
3391,UNDP,AFR,Tanzania,SIP-Reducing Land Degradation on the Highlands of Kilimanjaro,,,," 2,630,000 "," 21,646,000 ",13-May-10,,13-May-10,2010
3428,UNDP,AFR,Tanzania,SFM Extending the Coastal Forests Protected Area Subsystem,,,," 3,550,000 "," 7,022,167 ",4-Dec-09,,4-Dec-09,2009
3526,UNDP,AFR,Mauritius,Expanding Coverage and Strengthening Management Effectiveness of the Terrestrial Protected Area Network on the Island of Mauritius,,,," 4,000,000 "," 11,764,400 ",15-Dec-09,,15-Dec-09,2009
3575,UNDP,AFR,Guinea-Bissau,SPWA: Support for the Consolidation of a Protected Area System in Guinea-Bissau's Forest Belt,,,," 950,000 "," 3,920,000 ",,,0-Jan-00,1900
3687,UNDP,AFR,Madagascar,Madagascar's Network of Managed Resource Protected Areas,,,," 5,999,611 "," 8,218,401 ",3-Nov-10,,3-Nov-10,2010
3693,UNDP,AFR,Kenya,Strengthening the Protected Area Network within the Eastern Montane Forest Hotspot of Kenya,,,," 4,500,000 "," 12,470,000 ",19-Jan-10,,19-Jan-10,2010
3737,UNDP,AFR,Namibia,Namibia Protected Landscape Conservation Areas Initiative (NAM PLACE),,,," 4,500,000 "," 16,239,000 ",8-Sep-10,,8-Sep-10,2010
3753,UNDP,AFR,Mozambique,Sustainable Financing of the Protected Area System in Mozambique,,,," 4,850,000 "," 13,868,190 ",20-Aug-10,,20-Aug-10,2010
3757,UNDP,AFR,Equatorial Guinea,CBSP – Strengthening the National System of protected areas in Equatorial Guinea for the effective conservation of representative ecosystems and globally significant biodiversity,,,," 1,768,182 "," 4,932,800 ",6-Apr-10,,6-Apr-10,2010
3761,UNDP,AFR,Gabon,CBSP: Sustainable Management of the Mbe River Forested Watershed through the Development of a Payments for Ecosystem Services (PES) Mechanism,,,," 859,091 "," 1,775,000 ",,,0-Jan-00,1900
3770,UNDP,AFR,Benin,SPWA Incorporation of Sacred Forests into the Protected Areas System of Benin,,,," 950,000 "," 5,636,608 ",,,0-Jan-00,1900
3867,UNDP,AFR,Burundi,Improving Effectiveness of Protected Areas to Conserve Biodiversity in Burundi,,,," 859,090 "," 2,300,000 ",,,0-Jan-00,1900
3965,UNDP,AFR,Tanzania,Strengthening the Protected Area Network in Southern Tanzania: Improving the Effectiveness of National Parks in Addressing Threats to Biodiversity,,,," 5,304,500 "," 12,060,000 ",9-Feb-11,,9-Feb-11,2011
4080,UNDP,AFR,Senegal,SPWA Participatory Biodiversity Conservation and Low Carbon Development in Pilot Ecovillages in Senegal,,,," 2,880,000 "," 13,176,900 ",30-Jun-11,,30-Jun-11,2011
4090,UNDP,AFR,Nigeria,SPWA-B Niger Delta Conservation Project,,,," 3,610,000 "," 77,610,000 ",,,0-Jan-00,1900
4221,UNDP,AFR,Burkina Faso,SPWA-Protected Area Buffer Zone Management in Burkina Faso,,,," 860,000 "," 7,716,127 ",,,0-Jan-00,1900
4639,UNDP,AFR,Zambia,Strengthening Management Effectiveness and Generating Multiple Environmental Benefits within and around Protected Areas in Zambia,,,,," 147,790,000 ",,,0-Jan-00,1900
4644,UNDP,AFR,Uganda,Addressing barriers to the adoption of improved charcoal production technologies and Sustainable Land Management practices through an integrated approach,,,,," 7,559,167 ",,,0-Jan-00,1900
4748,UNDP,AFR,Regional,Improving Lake Chad Management through Building Climate Change Resilience and Reducing Ecosystem Stress through Implementation of the SAP,,,," 5,830,000 "," 236,282,304 ",11-May-17,,11-May-17,2017
5334,UNDP,AFR,Sao Tome and Principe,Promotion of Environmentally Sustainable and Climate-Resilient Grid Isolated Grid BasedHydroelectric Electricity Through an Integrated Approach in Sao Tome and Principe.,,,," 5,274,544 "," 20,705,704 ",9-Jun-15,,9-Jun-15,2015
5745,UNDP,AFR,Nigeria,Sustainable Fuelwood Management in Nigeria,,,," 4,410,000 "," 16,400,000 ",7-Nov-16,,7-Nov-16,2016
5752,UNDP,AFR,Benin,Promotion of Sustainable Biomass-based Electricity Generation in Benin,,,," 3,872,602 "," 25,750,000 ",14-Jun-16,,14-Jun-16,2016
9155,UNDP,AFR,Cameroon,Integrated and Transboundary Conservation of Biodiversity in the Basins of the Republic of Cameroon,,,," 3,907,500 "," 25,782,781 ",15-Jun-17,,15-Jun-17,2017
9156,UNDP,AFR,Tanzania,Combating poaching and the illegal wildlife trade in Tanzania through an integrated approach,,,," 5,354,587 "," 26,800,000 ",,,0-Jan-00,1900
9159,UNDP,AFR,Congo,Integrated and Transboundary Conservation of Biodiversity in the Basins of the Republic of Congo,,,," 3,125,250 "," 20,682,400 ",9-Jun-17,,9-Jun-17,2017
9266,UNDP,AFR,Eritrea,"Restoring Degraded Forest Landscapes and Promoting Community‐based, Sustainable and Integrated Natural Resource Management in the Rora Habab Plateau, Nakfa Sub-zoba, Northern Red Sea Region of Eritrea",,,," 8,260,607 "," 23,500,000 ",,,0-Jan-00,1900
9284,UNDP,AFR,Madagascar,"Sustainable Management of Land, Natural Resources and Wood Energy for an Integrated Development in the South-West and West of Madagascar",,,," 7,334,246 "," 24,366,000 ",,,0-Jan-00,1900
9385,UNDP,AFR,Rwanda,Forest Landscape Restoration in the Mayaga Region,,,," 6,213,538 "," 25,777,500 ",,,0-Jan-00,1900
9426,UNDP,AFR,Namibia,Namibia Integrated Landscape Approach for Enhancing Livelihoods and Environmental Governance to Eradicate Poverty (NILALEG),,,," 10,823,744 "," 65,169,105 ",,,0-Jan-00,1900
4677,UNDP,Asia,Thailand,GMS-FBP: Strengthening Capacity and Incentives for Wildlife Conservation in the Western Forest Complex,,,," 7,339,450 "," 24,234,427 ",1-Oct-14,,1-Oct-14,2014
4732,UNDP,Asia,Malaysia,Improving Connectivity in the Central Forest Spine (CFS) Landscape  - IC-CFS,,,," 10,860,000 "," 36,500,000 ",29-Jan-14,,29-Jan-14,2014
4811,UNDP,Asia,China,CBPF-MSL: Strengthening the Management Effectiveness of the Wetland Protected Area System in Hainan for Conservation of Globally Significant Biodiversity,,,," 2,634,771 "," 18,000,000 ",22-Mar-13,,22-Mar-13,2013
5330,UNDP,Asia,Thailand,"Maximizing Carbon Sink Capacity and Conserving Biodiversity through Sustainable Conservation, Restoration, and Management of Peat-swamp Ecosystems",,,," 3,224,400 "," 13,382,711 ",24-Dec-14,,24-Dec-14,2014
5398,UNDP,Asia,Fiji,"Implementing a ""Ridge to Reef"" Approach to Preserve Ecosystem Services, Sequester Carbon, Improve Climate Resilience and Sustain Livelihoods in Fiji (Fiji R2R)",,,," 7,387,614 "," 30,242,012 ",11-Mar-15,,11-Mar-15,2015
5660,UNDP,Asia,Pakistan,Sustainable Forest Management to Secure Multiple Benefits in High Conservation Value Forests,,,," 8,338,000 "," 49,420,000 ",17-Dec-15,,17-Dec-15,2015
6940,UNDP,Asia,Lao PDR,Sustainable Forest and Land Management in the Dry Dipterocarp Forest Ecosystems of Southern Lao PDR,,,," 10,879,174 "," 78,993,100 ",3-Mar-16,,3-Mar-16,2016
6992,UNDP,Asia,Myanmar,Ridge to Reef:  Integrated Protected Area Land and Seascape Management in Tanintharyi,,,," 5,250,000 "," 16,538,116 ",4-Apr-17,,4-Apr-17,2017
9199,UNDP,Asia,Bhutan,Enhancing Sustainability and Climate Resilience of Forest and Agricultural Landscape and Community Livelihoods,,,," 13,967,124 "," 42,630,300 ",15-Jun-17,,15-Jun-17,2017
9231,UNDP,Asia,Pakistan,Snow Leopard and Ecosystem Protection Program ,,,," 4,644,521 "," 15,130,000 ",,,0-Jan-00,1900
9361,UNDP,Asia,Vietnam,Mainstreaming Natural Resource Management and Biodiversity Conservation objectives into socio-economic development planning and management of Biosphere Reserve in Viet Nam,,,," 6,660,000 "," 30,000,000 ",,,0-Jan-00,1900
9372,UNDP,Asia,Sri Lanka,"Managing Together: Integrating Community-centered, Ecosystem-based Approaches into Forestry, Agriculture and Tourism Sectors",,,," 3,346,708 "," 28,450,000 ",,,0-Jan-00,1900
9389,UNDP,Asia,Mongolia,Ensuring Sustainability and Resilience (ENSURE) of Green Landscapes in Mongolia,,,," 7,964,253 "," 34,000,000 ",,,0-Jan-00,1900
9584,UNDP,Asia,Philippines,Integrated Approach in the Management of Major Biodiversity Corridors (IA-Biological Corridors),,,," 12,260,241 "," 67,500,320 ",,,0-Jan-00,1900
9590,UNDP,Asia,Vietnam,Integrated Sustainable Natural Resources Management in Viet Nam’s Ba River Forested Landscape,,,," 2,500,000 "," 15,500,000 ",,,0-Jan-00,1900
932,UNDP,ECA,Russian Federation,"Demonstrating Sustainable Conservation of Biological Diversity in Four Protected Areas in Russia’s Kamchatka Oblast, Phase I",,,," 2,100,000 "," 6,400,000 ",24-Oct-05,,24-Oct-05,2005
1026,UNDP,ECA,Turkey,Enhancing Coverage and Management Effectiveness of the Subsystem of Forest Protected Areas in Turkey’s National System of Protected Areas,,,," 972,000 "," 1,432,000 ",,,0-Jan-00,1900
1034,UNDP,ECA,Romania,Strengthening Romania's Protected Area System by Demonstrating Best Practices for Management of Small Protected Areas in Macin Mountains National Park,,,," 975,000 "," 3,960,000 ",21-Sep-04,,21-Sep-04,2004
1036,UNDP,ECA,Uzbekistan,"Conservation of ""Tugai Forest"" and Strengthening Protected Areas System in the Amu Darya Delta of Karakalpakstan",,,," 970,000 "," 2,669,246 ",2-Nov-10,,2-Nov-10,2010
1042,UNDP,ECA,Bulgaria,Conservation of Globally Significant Biodiversity in the Landscape of Bulgaria’s Rhodope Mountains,,,," 3,545,460 "," 14,656,246 ",1-Mar-04,,1-Mar-04,2004
1200,UNDP,ECA,Lithuania,Conservation of Inland Wetland Biodiversity,,,," 3,261,000 "," 8,958,000 ",20-Feb-04,,20-Feb-04,2004
1537,UNDP,ECA,Regional,"Integrated Ecosystem Management in the Prespa Lakes Basin of Albania, FYR-Macedonia and Greece",,,," 4,135,000 "," 9,000,000 ",,,0-Jan-00,1900
2035,UNDP,ECA,Russian Federation,SFM Strengthening Protected Area System of the Komi Republic to Conserve Virgin Forest Biodiversity in the Pechora River Headwaters Region,,,," 4,500,000 "," 15,903,460 ",8-Apr-08,,8-Apr-08,2008
2166,UNDP,ECA,Czech Republic,Integrated Ecosystem Management in Northern Bohemia,,,," 975,000 "," 1,827,500 ",,,0-Jan-00,1900
3417,UNDP,ECA,Armenia,Adaptation to Climate Change Impacts in Mountain Forest Ecosystems of Armenia,,,," 900,000 "," 1,900,000 ",,,0-Jan-00,1900
3849,UNDP,ECA,Romania,Improving the Financial Sustainability of the Carpathian System of Protected Areas,,,," 950,000 "," 4,717,041 ",,,0-Jan-00,1900
3909,UNDP,ECA,Russian Federation,Mainstreaming B Conservation into Russia's Energy Sector Policies and Operations,,,," 7,200,000 "," 4,550,000 ",,,0-Jan-00,1900
3949,UNDP,ECA,Georgia,Ensuring Sufficiency and Predictability of Revenues for the Protected Areas Systems,,,," 1,000,000 "," 4,734,000 ",,,0-Jan-00,1900
4332,UNDP,ECA,Azerbaijan,Sustainable Land and Forest Management in the Greater Caucasus Landscape,,,," 5,680,000 "," 11,400,000 ",,,0-Jan-00,1900
4468,UNDP,ECA,Belarus,Landscape Approach to Management of Peatlands Aiming at Multiple Ecological Benefits,,,," 2,700,900 "," 10,484,400 ",,,0-Jan-00,1900
4469,UNDP,ECA,Turkey,"Integrated Approach to Management of Forests in Turkey, with Demonstration in High Conservation Value Forests in the Mediterranean Region",,,," 7,120,000 "," 21,180,000 ",,,0-Jan-00,1900
5104,UNDP,ECA,Russian Federation,Sustainable Land Management and Ecosystem-based Climate Change Mitigation in the Altai-Sayan Ecoregion (RESUBMISSION),,,," 8,170,000 "," 48,159,000 ",,,0-Jan-00,1900
5353,UNDP,ECA,Armenia,Mainstreaming Sustainable Land and Forest Management in Dry Mountain Landscapes ,,,," 2,977,169 "," 13,989,935 ",18-Jun-15,,18-Jun-15,2015
5699,UNDP,ECA,Kazakhstan,Supporting Sustainable Land Management in Steppe and Semi-arid Zones through Integrated Territorial Planning and Agro-environmental Incentives,,,," 1,900,000 "," 9,499,459 ",7-Apr-15,,7-Apr-15,2015
6949,UNDP,ECA,Tajikistan,Conservation and Sustainable Use of Pamir Alay and Tian Shan Ecosystems for Snow Leopard Protection and Sustainable Community Livelihoods,,,," 4,181,370 "," 19,610,000 ",13-May-16,,13-May-16,2016
6958,UNDP,ECA,Kyrgyz Republic,Conservation of Globally Important Biodiversity and Associated Land and Forest Resources of Western Tian Shan Forest Mountain Ecosystems to Support Sustainable Livelihoods,,,," 3,988,575 "," 24,519,183 ",27-Dec-16,,27-Dec-16,2016
7993,UNDP,ECA,Belarus,Conservation-oriented Management of Forests and Wetlands to Achieve Multiple Benefits,,,," 4,263,561 "," 14,230,000 ",3-Oct-16,,3-Oct-16,2016
8031,UNDP,ECA,Uzbekistan,Sustainable Natural Resource Use and Forest Management in Key Mountainous Areas Important for Globally Significant Biodiversity,,,," 6,209,863 "," 25,300,000 ",29-Aug-16,,29-Aug-16,2016
9193,UNDP,ECA,Kazakhstan,Conservation and Sustainable Management of Key Globally Important Ecosystems for Multiple Benefits (Resubmission),,,," 8,069,178 "," 86,795,676 ",,,0-Jan-00,1900
197,UNDP,LAC,Guatemala,Integrated B Protection in the Sarstun-Montagua Region,,,," 6,040,000 "," 660,000 ",4-Feb-98,,4-Feb-98,1998
348,UNDP,LAC,Panama,B Conservation in the Darien Region,,,," 3,000,000 "," 500,000 ",7-Nov-00,,7-Nov-00,2000
360,UNDP,LAC,Regional,Regional Strategy for the Conservation and Sustainable Use of Natural Resources in the Amazon,,,," 4,500,000 "," 855,000 ",26-Jun-01,,26-Jun-01,2001
364,UNDP,LAC,Costa Rica,Conservation of B and Sustainable Development in La Amistad and Osa Conservation Areas,,,," 8,000,000 "," 3,000,000 ",18-Jan-02,,18-Jan-02,2002
499,UNDP,LAC,Belize,Creating A Co-Managed Protected Areas System,,,," 750,000 "," 3,555,000 ",12-Sep-05,,12-Sep-05,2005
503,UNDP,LAC,Paraguay,Paraguayan Wildlands Protection Initiative,,,," 8,900,000 "," 207,000 ",10-Feb-04,,10-Feb-04,2004
661,UNDP,LAC,Suriname,Conservation of Globally Significant Forest Ecosystems in Suriname’s Guayana Shield,,,," 9,240,000 "," 8,819,478 ",14-Feb-00,,14-Feb-00,2000
839,UNDP,LAC,Mexico,Integrated Ecosystem Management in 3 Priority Ecoregions,,,," 15,300,000 "," 61,715,066 ",28-Feb-01,,28-Feb-01,2001
887,UNDP,LAC,Mexico,B Conservation in the Sierra Gorda Biosphere Reserve,,,," 6,733,000 "," 6,874,000 ",10-May-04,,10-May-04,2004
968,UNDP,LAC,Cuba,Strengthening the National System of Protected Areas,,,," 1,997,000 "," 11,000,000 ",5-May-09,,5-May-09,2009
1021,UNDP,LAC,Chile,Conservation and Sustainable Use of Chiloé Globally Significant Biodiversity,,,," 1,000,000 "," 3,246,200 ",,,0-Jan-00,1900
1733,UNDP,LAC,Guatemala,Consolidating a System of Municipal Regional Parks (MRPs) in Guatemala's Western Plateau,,,," 969,500 "," 1,060,000 ",,,0-Jan-00,1900
1735,UNDP,LAC,Nicaragua,Conservation of Dry Forest and Coastal B of the Pacific Coast of Southern Nicaragua: Building Private-Public Partnerships,,,," 962,120 "," 1,584,000 ",,,0-Jan-00,1900
2068,UNDP,LAC,Belize,Integrating Protected Area and Landscape Management in the Golden Stream Watershed,,,," 975,000 "," 15,230,000 ",,,0-Jan-00,1900
2120,UNDP,LAC,Venezuela,B Conservation in the Productive Landscape of the Venezuelan Andes,,,," 7,351,900 "," 24,423,710 ",,,0-Jan-00,1900
2440,UNDP,LAC,Nicaragua,Sustainable Land Management in Drought Prone  Areas of Nicaragua,,,," 3,000,000 "," 30,950,000 ",,,0-Jan-00,1900
2670,UNDP,LAC,Regional,"Central American Markets for B (CAMBio): Mainstreaming B Conservation and Sustainable use within Micro, Small and Medium-sized Enterprise Development and Financing",,,," 10,225,000 "," 10,940,000 ",,,0-Jan-00,1900
2702,UNDP,LAC,Nicaragua,Strengthening and Catalyzing the Sustainability of Nicaragua's Protected Areas System,,,," 1,800,000 "," 15,345,692 ",,,0-Jan-00,1900
2772,UNDP,LAC,Chile,Building a Comprehensive National Protected Areas System: A Financial and Operational Framework,,,," 5,000,000 "," 33,080,490 ",22-Aug-08,,22-Aug-08,2008
2773,UNDP,LAC,Costa Rica,Overcoming Barriers to Sustainability of Costa Rica's Protected Areas System,,,," 4,800,000 "," 210,730,000 ",,,0-Jan-00,1900
2929,UNDP,LAC,"Regional (Dominican Republic, Haiti)",Reducing Conflicting Water Uses in the Artibonite River Basin through Development and Adoption of a Multi-focal Area Strategic Action Programme,,,," 3,080,000 "," 7,180,000 ",4-May-09,,4-May-09,2009
3592,UNDP,LAC,Honduras,Conservation of Biodiversity in the Indigenous Productive Landscapes of the Moskitia,,,," 2,018,300 "," 5,740,000 ",15-Jul-09,,15-Jul-09,2009
3637,UNDP,LAC,Mexico,SFM Transforming Management of Biodiversity-rich Community Production Forests through Building National Capacities for Market-based Instruments - under the Sustainable Forest Management Program,,,," 6,900,000 "," 17,471,500 ",18-Mar-10,,18-Mar-10,2010
3955,UNDP,LAC,Cuba,"Enhancing the Prevention, Control and Management of Invasive Alien Species in Vulnerable Ecosystems",,,," 5,018,182 "," 10,000,000 ",14-Apr-11,,14-Apr-11,2011
3971,UNDP,LAC,Bolivia,SFM Biodiversity Conservation through Sustainable Forest Management by Local Communities     ,,,," 5,500,000 "," 10,885,000 ",,,0-Jan-00,1900
3996,UNDP,LAC,Honduras,SFM: Mainstreaming Biodiversity Conservation into the Management of Pine-Oak Forests,,,," 829,091 "," 3,298,568 ",,,0-Jan-00,1900
4180,UNDP,LAC,Suriname,Coastal Protected Area Management,,,," 965,556 "," 1,605,045 ",8-Jun-11,,8-Jun-11,2011
4191,UNDP,LAC,Guatemala,Promoting Ecotourism to Strengthen the Financial Sustainability of the Guatemalan Protected Areas System (SIGAP),,,," 1,295,455 "," 1,955,310 ",,,0-Jan-00,1900
4479,UNDP,LAC,Guatemala,Sustainable Forest Management and Multiple Global Environmental Benefits,,,," 4,400,000 "," 13,160,000 ",,,0-Jan-00,1900
4590,UNDP,LAC,Honduras,Delivering Multiple Global Environment Benefits through Sustainable Management of Production Landscapes,,,,," 9,050,000 ",,,0-Jan-00,1900
4860,UNDP,LAC,Paraguay,Mainstreaming Biodiversity Conservation and Sustainable Land Management into Production Practices in all Bioregions and Biomes ,,,," 6,861,817 "," 22,437,030 ",9-Dec-13,,9-Dec-13,2013
5069,UNDP,LAC,Grenada,"Implementing a ""Ridge to Reef"" Approach to Protecting Biodiversity and Ecosystem Functions within and Around Protected Areas",,,," 3,031,666 "," 15,426,822 ",16-Sep-14,,16-Sep-14,2014
5277,UNDP,LAC,Nicaragua,Strengthening the Resilience of Multiple-use Protected Areas to Deliver Multiple Global Environmental Benefits,,,," 6,192,512 "," 19,919,718 ",27-Feb-15,,27-Feb-15,2015
5755,UNDP,LAC,Bolivia,Sustainable Management of Forest Ecosystems in Amazonia by Indigenous and Local Communities to Generate Multiple Environmental and Social Benefits,,,," 6,208,848 "," 26,393,386 ",12-Jan-16,,12-Jan-16,2016
9055,UNDP,LAC,Ecuador,Sustainable Development of the Ecuadorian Amazon: Integrated Management of Multiple Use Landscapes and High Value Conservation Forests,,,," 12,462,550 "," 49,338,351 ",16-Feb-17,,16-Feb-17,2017
9059,UNDP,LAC,Guatemala,Promoting Sustainable and Resilient Landscapes in the Central Volcanic Chain,,,," 11,144,497 "," 45,831,202 ",19-Oct-17,,19-Oct-17,2017
9262,UNDP,LAC,Honduras,Agroforestry Landscapes and Sustainable Forest Management that Generate Environmental and Economic Benefits Globally and Locally,,,," 13,286,697 "," 48,203,000 ",,,0-Jan-00,1900
9288,UNDP,LAC,Suriname,"Improving Environmental Management in the Mining Sector of Suriname, with Emphasis on Gold Mining ",,,," 7,589,041 "," 33,600,000 ",,,0-Jan-00,1900
9416,UNDP,LAC,Costa Rica,Conserving Biodiversity through Sustainable Management in Production Landscapes in Costa Rica,,,," 6,699,315 "," 26,098,314 ",,,0-Jan-00,1900
9500,UNDP,LAC,Chile,Building a Sustainable Fuelwood Supply Chain to Deliver Multiple Benefits ,,,," 4,694,521 "," 21,000,000 ",,,0-Jan-00,1900
1438,UNDP,Asia,Jordan,Conservation and Sustainable Use of B in Dibeen Nature Reserve,,,," 1,000,000 "," 556,980 ",8-Mar-11,,8-Mar-11,2011
3028,UNDP,Asia,Lebanon,SFM Safeguarding and Restoring Lebanon's Woodland Resources,,,," 980,000 "," 1,275,000 ",,,0-Jan-00,1900
3919,UNDP,AFR,Morocco,Mainstreaming Biodiversity into Value Chains for Mediterranean Medicinal and Aromatic Plants,,,," 950,000 "," 3,375,000 ",30-Jan-10,,30-Jan-10,2010
4470,UNDP,Asia,Iran,Building a Multiple-Use Forest Management Framework to Conserve Biodiversity in the Caspian Forest Landscape,,,," 1,900,000 "," 5,175,000 ",,,0-Jan-00,1900
2,UNDP,Asia,Philippines,Samar Island Biodiversity Project: Conservation and Sustainable Use of the Biodiversity of a Forested Protected Area,,,," 5,759,470 "," 7,123,420 ",12-Jul-00,,12-Jul-00,2000
347,UNDP,Asia,Papua New Guinea,B Conservation and Resource Management,,,," 5,000,000 "," 1,800,000 ",17-Jul-02,,17-Jul-02,2002
642,UNDP,Asia,Malaysia,Conservation and Sustainable Use of Tropical Peat Swamp Forests and Associated Wetland Ecosystems,,,," 5,985,000 "," 7,680,000 ",31-Oct-00,,31-Oct-00,2000
798,UNDP,Asia,Philippines,Sustainable Management of Mount Isarog,,,," 750,000 "," 845,050 ",29-Dec-05,,29-Dec-05,2005
1176,UNDP,Asia,Malaysia,Conservation of Biological Diversity through Improved Forest Planning Tools,,,," 2,261,000 "," 3,363,420 ",9-Jun-06,,9-Jun-06,2006
3859,UNDP,Asia,Philippines,Partnerships for Biodiversity Conservation: Mainstreaming in Local Agricultural Landscapes ,,,," 4,500,000 "," 12,522,061 ",25-Jun-10,,25-Jun-10,2010
3906,UNDP,Asia,Malaysia,Enhancing Effectiveness and Financial Sustainability of Protected Areas,,,," 5,600,000 "," 9,800,000 ",,,0-Jan-00,1900
3954,UNDP,Asia,Papua New Guinea,PAS Community-Based Forest and Coastal Conservation and Resource Management in PNG,,,," 6,900,000 "," 23,000,000 ",29-Jun-11,,29-Jun-11,2011
4182,UNDP,Asia,Malaysia,Biodiversity Conservation in Multiple-Use Forest Landscapes in Sabah,,,," 4,400,000 "," 8,800,000 ",,,0-Jan-00,1900
4216,UNDP,Asia,Samoa,Integration of Climate Change Risk and Resilience into Forestry Management (ICCRIFS),,,," 2,400,000 "," 2,530,000 ",15-Mar-11,,15-Mar-11,2011
5544,UNDP,Asia,Marshall Islands,R2R Reimaanlok  Looking to the Future: Strengthening Natural Resource Management in Atoll Communities in the Republic of Marshall Islands Employing Integrated Approaches (RMI R2R),,,," 3,927,981 "," 4,057,139 ",27-Sep-17,,27-Sep-17,2017
9208,UNDP,Asia,Palau,Integrating Biodiversity Safeguards and Conservation into development in Palau ,,,," 4,233,562 "," 22,671,306 ",,,0-Jan-00,1900
9424,UNDP,LAC,Dominican Republic,Mainstreaming Conservation of Biodiversity and Ecosystem Services in Productive Landscapes in Threatened Forested Mountainous Areas,,,," 8,176,165 "," 54,000,000 ",,,0-Jan-00,1900
9429,UNDP,LAC,Cuba,Incorporating Multiple Environmental Considerations and their Economic Implications into the Management of Landscapes Forests and Production Sectors in Cuba,,,," 9,580,365 "," 37,800,000 ",,,0-Jan-00,1900
209,UNDP,Asia,Vietnam,Vietnam PARC - Creating Protected Areas for Resources Conservation (PARC) in Vietnam Using a Landscape Ecology Approach,,,," 6,041,000 "," 655,000 ",18-Dec-00,,18-Dec-00,2000
352,UNDP,Asia,Sri Lanka,Development of Wildlife Conservation and Protected Areas Management,,,," 4,087,130 "," 5,243,672 ",12-Jul-01,,12-Jul-01,2001
1030,UNDP,Asia,Vietnam,Making the Link: The Connection and Sustainable Management of Kon Ka Kinh and Kon Cha Rang Nature Reserves,,,," 875,000 "," 2,097,000 ",3-Nov-05,,3-Nov-05,2005
1043,UNDP,Asia,Cambodia,Establishing Conservation Areas Landscape Management (CALM) in the Northern Plains,,,," 2,300,000 "," 39,364,468 ",17-Feb-06,,17-Feb-06,2006
1100,UNDP,Asia,Mongolia,Community-based Conservation of Biological Diversity in the Mountain Landscapes of Mongolia's Altai Sayan Ecoregion,,,," 2,720,000 "," 8,473,222 ",31-Oct-06,,31-Oct-06,2006
1107,UNDP,Asia,Nepal,Landscape Level B Conservation in Nepal's Western Terai Complex,,,," 3,312,278 "," 3,330,000 ",11-May-05,,11-May-05,2005
